,iso_o,iso_d,Distw,Comlang,Contig,GDP_d,GDP_o,POP_o,Pop_d,XPTOT_o,emotenss f
10923,CUB,AUT,8573.578195,0,0,987373568.0,87270687818.0,6943.0,8727.068781999998,4510496.0,15900000.0
10925,CUB,AZE,11283.73834,0,0,207656400.0,114000000000.0,2197.0,11397.431709999999,2814868.0,16000000.0
10926,CUB,BDI,12149.26624,0,0,40005424.0,124000000000.0,777.1075438999999,12375.59961,2780998.0,15900000.0
10927,CUB,BEL,7731.456387,0,0,60125828.0,78125419900.0,770.0,7812.541990000001,3996432.0,16000000.0
10928,CUB,BEN,8876.438842,0,0,232371008.0,92027734795.0,81120.14063,9202.77348,6132127.0,15600000.0
10930,CUB,BGD,14839.83802,0,0,275855200.0,147000000000.0,19000.0,14748.90435,6001517.0,16300000.0
10933,CUB,BHS,549.6821234,0,0,113096176.0,5557814546.0,5094.512207,555.7814546,6999139.0,16000000.0
10934,CUB,BIH,8912.994227,0,0,104864072.0,90574615542.0,2188.0,9057.461554000001,5466613.0,15900000.0
10935,CUB,BLR,9159.392948,0,0,4403025920.0,91548440703.0,13469.0,9154.844070000001,4296390.0,16200000.0
10936,CUB,BLZ,1073.6374130000002,1,0,490120512.0,8703250485.0,1871.0,870.3250485,5540000.0,20000000.0
10938,CUB,BOL,4650.30805,1,0,73284173824.0,46708826721.0,149770.0,4670.882672,6843000.0,16100000.0
10939,CUB,BRA,5887.785769,0,0,443251040.0,64698147370.0,20516.0,6469.814737,8106000.0,14700000.0
10940,CUB,BRB,2348.962827,0,0,405373216.0,26470383078.0,5386.0,2647.0383079999997,9657000.0,14400000.0
10942,CUB,BWA,12510.16583,0,0,90157256.0,128000000000.0,3454.4323729999996,12813.04894,9655000.0,15800000.0
10943,CUB,CAF,10649.57069,0,0,719389824.0,109000000000.0,3963.0,10931.52061,9352000.0,15800000.0
10944,CUB,CAN,3126.636281,0,0,3829957888.0,25508417637.0,543941.0,2550.8417640000002,10298000.0,19800000.0
10945,CUB,CHE,8061.092544,0,0,745104832.0,82068444808.0,3234.0,8206.844481,11743000.0,15900000.0
10946,CUB,CHL,6225.653628,1,0,54780884.0,64130521999.0,1390.0,6413.0522,11501000.0,15700000.0
10947,CUB,CHN,13348.870190000001,0,0,449698336.0,135000000000.0,16212.05371,13459.615730000001,11848000.0,16000000.0
10948,CUB,CIV,8225.531556,0,0,152655664.0,85858677220.0,3827.806396,8585.867721999999,14886000.0,15500000.0
10949,CUB,CMR,9890.957483,0,0,1823507840.0,102000000000.0,16084.0,10236.57244,18319000.0,15600000.0
10952,CUB,COL,1889.59222,1,0,512696352.0,22443396262.0,8329.0,2244.339626,27766754.0,13600000.0
10953,CUB,COM,13937.81481,0,0,357851328.0,141000000000.0,2981.0,14142.09096,25147110.0,15900000.0
10954,CUB,CPV,5875.208469,0,0,12620000256.0,62170880334.0,50312.0,6217.088033,35946444.0,15300000.0
10955,CUB,CRI,1455.2034039999999,1,0,1843433216.0,14788551910.0,6955.0,1478.855191,54085736.0,15900000.0
10957,CUB,CYM,471.621992,0,0,3284572416.0,4382234114.0,50769.0,438.22341140000003,24471440.0,17400000.0
10958,CUB,CYP,10541.7448,0,0,69845624.0,106000000000.0,838.0,10647.73603,27092868.0,16000000.0
10961,CUB,DEU,8097.509593000001,0,0,2197181952.0,83613115060.0,24410.0,8361.311506,30678584.0,15700000.0
10962,CUB,DJI,12762.49494,0,0,979363264.0,129000000000.0,5969.096191,12944.175720000001,32035728.0,15900000.0
10963,CUB,DMA,2068.8020030000002,0,0,404009888.0,23667898141.0,6061.0,2366.789814,37392872.0,14100000.0
10964,CUB,DNK,8078.167587000001,0,0,68771072.0,82014720876.0,1366.0,8201.472087999999,48564308.0,15900000.0
10966,CUB,DZA,8002.9954849999995,0,0,6584473088.0,81218836091.0,355000.0,8121.883609,44650020.0,15900000.0
10967,CUB,ECU,2633.818765,1,0,223222688.0,26316771646.0,7502.0,2631.677165,70750032.0,16200000.0
10969,CUB,EGY,10639.86959,0,0,2031632768.0,108000000000.0,8267.336914,10789.04735,81450032.0,16000000.0
