,iso_o,iso_d,Distw,Comlang,Contig,GDP_d,GDP_o,POP_o,Pop_d,Remotenss,Trade Flow
8993,CHN,LTU,7021.452416,0,0,,75987220018,3362.373291,7598.722002,14900000,411236544
8994,CHN,LUX,8364.359501,0,0,496007232,90024742312,16613,9002.474231,15000000,427080352
8995,CHN,LVA,6927.428236,0,0,,75642546383,966,7564.254638,14800000,432276160
8996,CHN,MAC,1982.744629,1,1,271657344,12768461603,4140.494141,1276.84616,25100000,393012800
8997,CHN,MANCHU,,1,1,,11907467856,434.4543457,1190.746786,0,380448544
8998,CHN,MAR,10347.96238,0,0,298800192,1.11E+11,3497,11052.88055,15100000,375651840
8999,CHN,MCO,,0,0,,93326928781,13168.18945,9332.692878,0,373223392
9000,CHN,MDA,7088.32888,0,0,,77119857148,14215,7711.985715,14900000,393661856
9001,CHN,MDG,9529.57597,0,0,,96541831596,3221,9654.18316,16000000,438142016
9002,CHN,MDV,5747.519882,0,0,20201678848,58386591713,120971,5838.659171,15900000,588126592
9003,CHN,MEX,12411.54743,0,0,1115184256,1.29E+11,22977,12908.71193,15600000,662053696
9004,CHN,MHL,6240.02566,0,0,180744432,58115692058,13535,5811.569206,17400000,773138240
9005,CHN,MKD,7872.957931,0,0,,84930838514,5730,8493.083851,15000000,934198976
9006,CHN,MLI,12010.71787,0,0,74171176,1.28E+11,4330,12750.96818,15200000,1112283392
9007,CHN,MLT,8736.919548,0,0,,93610480714,2194.5896,9361.048071,15100000,1056015936
9008,CHN,MMR,2887.055049,0,1,168581984,30200603604,6619,3020.06036,15500000,906242624
9009,CHN,MNE,,0,0,1486643328,86218602920,62361,8621.860292,0,65071296
9010,CHN,MNG,1783.082053,0,1,,22317692784,4123.33252,2231.769278,12900000,28580348
9011,CHN,MOZ,10668.88151,0,0,,96677555757,480,9667.755576,17800000,36197816
9012,CHN,MRT,12153.07651,0,0,,1.29E+11,889.6687622,12896.09108,15200000,30582554
9013,CHN,MTQ,14394.90606,0,0,456363328,1.49E+11,7968,14914.52305,15600000,28435094
9014,CHN,MUS,8840.745538,0,0,,88967826375,746.7114868,8896.782637,16100000,43870968
9015,CHN,MWI,10296.91286,0,0,146122016,1.06E+11,1454,10595.1904,15700000,27817726
9016,CHN,MYS,3879.039539,1,0,405610592,37487667350,60249.99219,3748.766735,16700000,51476932
9017,CHN,NAM,12272.31612,0,0,,1.26E+11,6711.230469,12598.00639,15800000,38118356
9018,CHN,NCL,8262.214257,0,0,124122008,76357550109,3693,7635.755011,17500000,33616984
9019,CHN,NER,10977.15213,0,0,,1.19E+11,6873.642578,11862.61431,15000000,37285440
9020,CHN,NGA,11356.9946,0,0,,1.22E+11,12543,12232.44494,15000000,36837420
9021,CHN,NIC,14135.4608,0,0,,1.44E+11,3889.306396,14359.14974,15900000,49468660
9022,CHN,NLD,8242.413527,0,0,,88778964833,1502,8877.896483,15000000,78353872
9023,CHN,NOR,7478.262213,0,0,8297044.5,80887380727,5873,8088.738073,15000000,100250600
9024,CHN,NPL,3222.00125,0,1,41305500,35093611449,1735,3509.361145,14800000,150834720
9025,CHN,NRU,6580.050925,0,0,,59443882127,2359,5944.388213,17900000,234687008
9026,CHN,NZL,10240.93274,0,0,,97367986353,938.8770142,9736.798635,17000000,278749408
9027,CHN,OMN,5884.11084,0,0,,61879291627,4221,6187.929163,15400000,182062128
9028,CHN,PAK,4420.175707,0,1,337814560,53434435122,6643,5343.443512,13400000,171249648
9029,CHN,PAN,14729.30146,0,0,,1.50E+11,6826.831055,15018.23648,15900000,151249680
9030,CHN,PER,16938.90619,0,0,27443732,1.72E+11,553,17160.108,16000000,158749664
9031,CHN,PHL,2613.129409,0,0,163030000,18485239023,2944,1848.523902,22900000,201062080
9032,CHN,PLW,3691.891401,0,0,,29668564462,11734,2966.856446,20100000,188874608
9033,CHN,PNG,5799.643192,0,0,1242033024,52846922091,10107,5284.692209,17700000,187062112
9034,CHN,POL,7456.561624,0,0,180042672,79719058986,,7971.905899,15100000,204874576
9035,CHN,PRK,1123.935915,0,1,440156512,9507996325,6097,950.7996325,19100000,246124480
9036,CHN,PRT,10032.41943,0,0,372387584,1.07E+11,3988,10714.6873,15100000,229000096
9037,CHN,PRTIND,,0,0,,51255764773,5547.383301,5125.576477,0,255535840
9038,CHN,PRY,18567.04364,0,0,,1.93E+11,3638.041748,19349.89864,15500000,289928704
9039,CHN,PYF,11432.78505,0,0,,1.09E+11,2602.513428,10907.89689,17000000,328612288
9040,CHN,QAT,6298.936682,0,0,,67726359080,753,6772.635908,15000000,371158016
9041,CHN,REU,9058.341089,1,0,209911264,91140810919,8520,9114.081092,16100000,471357376
9042,CHN,ROM,7395.015906,0,0,129110624,80325562723,1646,8032.556272,14900000,552605376
9043,CHN,RUS,5506.708485,0,1,,68211109143,14476,6821.110914,13100000,726375616
